path,author,sex,birthday,header,created,sphere,genre_fi,type,topic,chronotop,style,audience_age,audience_level,audience_size,source,publication,publisher,publ_year,medium,subcorpus,tagging,__num__,,year,year_source,is_problem_date,problem_reason
pre1950/xix/sereda_na/sereda01,Н. А. Середа,муж,1838,Бунт киргизского султана Кенисары Касимова (1838-1847 гг.).,29.01.1870,публицистика | нехудожественная,,статья,история|армия и вооруженные конфликты,,нейтральный,н-возраст,н-уровень,большая,"«Вестник Европы», № 8, 1871. http://az.lib.ru/s/sereda_n_a/",«Вестник Европы»,М. М. Стасюлевич,###############################################################################################################################################################################################################################################################,журнал,ПК письменных текстов/oldortho,,68375,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/severtsov/severc01,Н. А. Северцов,муж,1827,Месяц плена у коканцов,1860,публицистика | нехудожественная,,очерк,путешествия|частная жизнь,,нейтральный,н-возраст,н-уровень,большая,"Месяц плена у Коканцев. Сочинение Николая Северцова СПб.: в тип. Рюмина и Комп., 1860 http://az.lib.ru/s/sewercow_n_a/","Месяц плена у Коканцев. Сочинение Николая Северцова СПб.: в тип. Рюмина и Комп., 1860",Типография Рюмина и Комп,###############################################################################################################################################################################################################################################################,книга,ПК письменных текстов,,68376,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/shalikova/shalikova_semeinye_sceny,Н. П. Шаликова,жен,1815,Семейные сцены,1856,художественная,нежанровая проза,повесть,,Россия: XIX век,нейтральный,н-возраст,н-уровень,большая,"Русский Вестник, № 17-18, 1856","Русский Вестник, № 17-18",,###############################################################################################################################################################################################################################################################,журнал,ПК письменных текстов,,68377,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/shapir/shapir01,О. А. Шапир,жен,1850,Без любви,1886,художественная,любовная история,роман,,Россия: XIX век,нейтральный,н-возраст,н-уровень,большая,"«Вестник Европы», № 2-№ 5, СПб.: 1886 http://az.lib.ru/s/shapir_o_a/","«Вестник Европы», № 2-№ 5, СПб.: 1886",М. М. Стасюлевич,###############################################################################################################################################################################################################################################################,журнал,ПК письменных текстов,,68378,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/shcherbatov/shcher01,обобщенный,,,[Комментарий к «Письму къ вельможамъ правителямъ государства» кн. М. М. Щербатова],1872,публицистика | нехудожественная,,письмо,администрация и управление,,нейтральный,н-возраст,н-уровень,малая |большая,"Русская старина, 1872, № 1",Русская старина,,###############################################################################################################################################################################################################################################################,журнал,ПК письменных текстов/oldortho,,68384,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/shcherbatov/shcher02,М. М. Щербатов,муж,1733,Письмо къ вельможамъ правителямъ государства,1787,публицистика | нехудожественная,,письмо,администрация и управление,,нейтральный,н-возраст,н-уровень,малая |большая,"Русская старина, 1872, № 1",Русская старина,,###############################################################################################################################################################################################################################################################,журнал,ПК письменных текстов/oldortho,,68385,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/shelgunov/shelgu01,Н. В. Шелгунов,муж,1824,Бродяги и нищие,1867,публицистика | нехудожественная,,статья,политика и общественная жизнь,,нейтральный,н-возраст,н-уровень,большая,"«Дело», № 6, 1867 http://az.lib.ru/s/shelgunow_n_w/","«Дело», № 6, 1867",Н. И. Шульгин,###############################################################################################################################################################################################################################################################,журнал,ПК письменных текстов,,68386,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/shelgunov/shelgu02,Н. В. Шелгунов,муж,1824,Год на Севере С. Максимова,1867,публицистика | нехудожественная,,статья,путешествия,,нейтральный,н-возраст,н-уровень,большая,"«Русское слово», № 2, 1860 http://az.lib.ru/s/shelgunow_n_w/","«Русское слово», № 2, 1860",Г. А. Кушелёв-Безбородко,###############################################################################################################################################################################################################################################################,журнал,ПК письменных текстов,,68387,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/shelgunov/shelgu03,Н. В. Шелгунов,муж,1824,Люди сороковых и шестидесятых годов,1867,публицистика | нехудожественная,,очерк,искусство и культура|политика и общественная жизнь,,нейтральный,н-возраст,н-уровень,большая,"«Дело», 1869 http://az.lib.ru/s/shelgunow_n_w/","«Дело», 1869",Н. И. Шульгин,###############################################################################################################################################################################################################################################################,журнал,ПК письменных текстов,,68388,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/shelgunov/shelgu04,Н. В. Шелгунов,муж,1824,Народник Якушкин,1867,публицистика | нехудожественная,,статья,искусство и культура,,нейтральный,н-возраст,н-уровень,большая,"«Дело», №12, 1883 http://az.lib.ru/s/shelgunow_n_w/","«Дело», №12, 1883","Г. Е. Благосветлов, наследники",###############################################################################################################################################################################################################################################################,журнал,ПК письменных текстов,,68389,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/shelgunov/shelgu05,Н. В. Шелгунов,муж,1824,Народный реализм в литературе,1871,публицистика | нехудожественная,,статья,искусство и культура,,нейтральный,н-возраст,н-уровень,большая,"«Дело», №5, 1871 http://az.lib.ru/s/shelgunow_n_w/","«Дело», №5, 1871",Н. И. Шульгин,###############################################################################################################################################################################################################################################################,журнал,ПК письменных текстов,,68390,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/shelgunov/shelgu06,Н. В. Шелгунов,муж,1824,Наше разномыслие,1867,публицистика | нехудожественная,,статья,искусство и культура,,нейтральный,н-возраст,н-уровень,большая,"«Дело», № 6, 1867 http://az.lib.ru/s/shelgunow_n_w/","«Дело», № 6, 1867",Н. И. Шульгин,###############################################################################################################################################################################################################################################################,журнал,ПК письменных текстов,,68391,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/shelgunov/shelgu07,Н. В. Шелгунов,муж,1824,Попытки русского сознания. Сентиментализм и Карамзин,1874,публицистика | нехудожественная,,статья,искусство и культура|политика и общественная жизнь,,нейтральный,н-возраст,н-уровень,большая,"«Дело», №2, 1874 http://az.lib.ru/s/shelgunow_n_w/","«Дело», №2, 1874",Н. И. Шульгин,###############################################################################################################################################################################################################################################################,журнал,ПК письменных текстов,,68392,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/shelgunov/shelgu08,Н. В. Шелгунов,муж,1824,Прогулы-ли мешают нашему земледелию?,1867,публицистика | нехудожественная,,статья,политика и общественная жизнь,,нейтральный,н-возраст,н-уровень,большая,"«Дело», № 6, 1867 http://az.lib.ru/s/shelgunow_n_w/","«Дело», № 6, 1867",Н. И. Шульгин,###############################################################################################################################################################################################################################################################,журнал,ПК письменных текстов,,68393,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/shelgunov/shelgu09,Н. В. Шелгунов,муж,1824,Пророк славянофильского идеализма,1876,публицистика | нехудожественная,,статья,искусство и культура|политика и общественная жизнь,,нейтральный,н-возраст,н-уровень,большая,"«Дело», № 9, 1876 http://az.lib.ru/s/shelgunow_n_w/","«Дело», № 9, 1876",Н. И. Шульгин,###############################################################################################################################################################################################################################################################,журнал,ПК письменных текстов,,68394,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/shelgunov/shelgu12,Н. В. Шелгунов,муж,1824,Светлые точки на темном фоне,1867,публицистика | нехудожественная,,статья,политика и общественная жизнь|искусство и культура,,нейтральный,н-возраст,н-уровень,большая,"«Дело», № 9, 1867 http://az.lib.ru/s/shelgunow_n_w/","«Дело», № 9, 1867",Н. И. Шульгин,###############################################################################################################################################################################################################################################################,журнал,ПК письменных текстов,,68397,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/shelgunov/shelgu13,Н. В. Шелгунов,муж,1824,Талантливая бесталанность,1869,публицистика | нехудожественная,,статья,искусство и культура,,нейтральный,н-возраст,н-уровень,большая,"«Дело», № 8, 1869 http://az.lib.ru/s/shelgunow_n_w/","«Дело», № 8, 1869",Н. И. Шульгин,###############################################################################################################################################################################################################################################################,журнал,ПК письменных текстов,,68398,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/sheller-mixailov/chuzhie_grexi,А. К. Шеллер-Михайлов,муж,1838,Чужие грехи,1880,художественная,нежанровая проза,роман,,Россия: XIX век,нейтральный,н-возраст,н-уровень,большая,"А. Михайловъ. Чужiе грѣхи. СПб.: Типографiя Императорской Академiи наукъ, 1880, http://az.lib.ru/s/shellermihajlow_a_k/text_1880_chuzhie_grehi_oldorfo.shtml",А. Михайловъ. Чужiе грѣхи,Типографiя Императорской Академiи наукъ,###############################################################################################################################################################################################################################################################,книга,ПК письменных текстов/oldortho,,68400,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/sheller-mixailov/njutkin_otec,А. К. Шеллер-Михайлов,муж,1838,Нюткин отец,1899,художественная,нежанровая проза,рассказ,,Россия: XIX век,нейтральный,н-возраст,н-уровень,большая,"«Живописное обозрѣніе», 1899, №№ 27—28, http://az.lib.ru/s/shellermihajlow_a_k/text_1899_nutkin_otez_oldorfo.shtml",«Живописное обозрѣніе»,,###############################################################################################################################################################################################################################################################,журнал,ПК письменных текстов/oldortho,,68408,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/sheremetev_sd/sheremetev_polkovye_vospomin,С. Д. Шереметев,муж,1844,Из «Полковых воспоминаний» графа С. Д. Шереметева,1898,публицистика | нехудожественная,,мемуары,армия и вооруженные конфликты,,нейтральный,н-возраст,н-уровень,большая,"Шереметев С. Д. Полковые воспоминания. СПб., 1898",Шереметев С. Д. Полковые воспоминания,,###############################################################################################################################################################################################################################################################,книга,ПК письменных текстов,,68426,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/shestov/shekspir,Л. И. Шестов,муж,1866,Шекспир и его критик Брандес,1898,публицистика | нехудожественная,,монография,философия|искусство и культура,,нейтральный,н-возраст,н-уровень,большая,http://www.vehi.net/shestov/Shekspir.html,,,,книга,ПК письменных текстов,,68428,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/shevchenko/auto,Т. Г. Шевченко,муж,1814,[Автобиография],1860,публицистика | нехудожественная,,биография,частная жизнь,,нейтральный,н-возраст,н-уровень,большая,"Автобіографія Шевченка. // Т. Г. Шевченко. Кобзарь з додатком споминок про Шевченка писателів Тургенева і Полонского. — У Празі, 1876 http://lib.russportal.ru/index.php?id=authors.shevchenko.shevchenko1876_01_0000",Т. Г. Шевченко. Кобзарь з додатком споминок про Шевченка писателів Тургенева і Полонского,,###############################################################################################################################################################################################################################################################,книга,ПК письменных текстов,,68429,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/shishkov/2stat_01,А. С. Шишков,муж,1754,О библейскихъ обществахъ,1824,публицистика | нехудожественная,,статья,политика и общественная жизнь,,нейтральный,н-возраст,н-уровень,большая,"Записки, мнѣнія и переписка адмирала А. С. Шишкова. Томъ II. Статьи","Записки, мнѣнія и переписка адмирала А. С. Шишкова. Томъ II","Типографія I. С. Скрейшовского, въ Прагѣ",###############################################################################################################################################################################################################################################################,книга,ПК письменных текстов/oldortho,,68444,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/shishkov/2stat_03,А. С. Шишков,муж,1754,Отрывокъ изъ статьи: о библейскихъ обществахъ,1824,публицистика | нехудожественная,,статья,политика и общественная жизнь,,нейтральный,н-возраст,н-уровень,малая,"Записки, мнѣнія и переписка адмирала А. С. Шишкова. Томъ II. Статьи","Записки, мнѣнія и переписка адмирала А. С. Шишкова. Томъ II","Типографія I. С. Скрейшовского, въ Прагѣ",###############################################################################################################################################################################################################################################################,книга,ПК письменных текстов/oldortho,,68446,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/shishkov/pisma_shishkovu/pisma_shiskovu_ot_derzhavina,Г. Р. Державин,муж,1743,Письмо А. С. Шишкову,1816,бытовая | нехудожественная,,письмо,частная жизнь,,нейтральный,н-возраст,н-уровень,личная |большая,"Записки, мнѣнія и переписка адмирала А. С. Шишкова. Томъ II. Издание подготовлено Н. Киселевым и Ю. Самариным. Типографія I. С. Скрейшовского, въ Прагѣ, 1870","Записки, мнѣнія и переписка адмирала А. С. Шишкова. Томъ II","Типографія I. С. Скрейшовского, въ Прагѣ",###############################################################################################################################################################################################################################################################,книга,ПК письменных текстов/oldortho,,68448,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/shishkov/pisma_shishkovu/pisma_shiskovu_ot_estroma,Е. Г. Эрстрем,муж,,Письмо А. С. Шишкову,1820,бытовая | нехудожественная,,письмо,наука и технологии,,нейтральный,н-возраст,н-уровень,личная |большая,"Записки, мнѣнія и переписка адмирала А. С. Шишкова. Томъ II. Издание подготовлено Н. Киселевым и Ю. Самариным. Типографія I. С. Скрейшовского, въ Прагѣ, 1870","Записки, мнѣнія и переписка адмирала А. С. Шишкова. Томъ II","Типографія I. С. Скрейшовского, въ Прагѣ",###############################################################################################################################################################################################################################################################,книга,ПК письменных текстов/oldortho,,68450,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/shishkov/pisma_shishkovu/pisma_shiskovu_ot_glinki,Ф. Н. Глинка,муж,1786,Письма А. С. Шишкову,1822,бытовая | нехудожественная,,письмо,искусство и культура,,нейтральный,н-возраст,н-уровень,личная |большая,"Записки, мнѣнія и переписка адмирала А. С. Шишкова. Томъ II. Издание подготовлено Н. Киселевым и Ю. Самариным. Типографія I. С. Скрейшовского, въ Прагѣ, 1870","Записки, мнѣнія и переписка адмирала А. С. Шишкова. Томъ II","Типографія I. С. Скрейшовского, въ Прагѣ",###############################################################################################################################################################################################################################################################,книга,ПК письменных текстов/oldortho,,68452,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
